year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,3700,2369,30,1301,G1302630
2008,990,643,8,339,G1302650
2008,6714,1932,52,4730,G1302670
2008,3583,1536,26,2021,G1302690
2008,4374,1862,26,2486,G1302710
2008,4416,2501,25,1890,G1302730
2008,18459,7720,97,10642,G1302750
2008,14257,4749,77,9431,G1302770
2008,9688,2964,66,6658,G1302790
2008,5739,1391,56,4292,G1302810
2008,2954,1112,16,1826,G1302830
2008,26028,10455,182,15391,G1302850
2008,3553,1427,30,2096,G1302870
2008,4519,2402,30,2087,G1302890
2008,10634,2486,135,8013,G1302910
2008,11421,4061,69,7291,G1302930
2008,23542,6095,337,17110,G1302950
2008,36026,8469,304,27253,G1302970
2008,12416,4034,71,8311,G1302990
2008,2660,1554,19,1087,G1303010
2008,8863,4607,40,4216,G1303030
2008,10560,2858,101,7601,G1303050
2008,1111,515,8,588,G1303070
2008,2210,794,8,1408,G1303090
2008,10761,2174,120,8467,G1303110
2008,27677,8167,280,19230,G1303130
2008,3163,978,26,2159,G1303150
2008,5052,2315,32,2705,G1303170
2008,4673,2298,26,2349,G1303190
2008,8370,2542,48,5780,G1303210
2008,66916,50819,1231,14866,G1500010
2008,306813,214239,4410,88164,G1500030
2008,27224,20416,563,6245,G1500070
2008,51789,39727,908,11154,G1500090
2008,179402,82236,3838,93328,G1600010
2008,2320,728,75,1517,G1600030
2008,35105,14792,957,19356,G1600050
2008,2943,502,64,2377,G1600070
2008,4164,1407,111,2646,G1600090
2008,17155,4424,501,12230,G1600110
2008,10571,6947,185,3439,G1600130
2008,3773,1240,100,2433,G1600150
2008,19547,7840,562,11145,G1600170
2008,41703,11417,952,29334,G1600190
2008,4733,1484,171,3078,G1600210
2008,1410,318,36,1056,G1600230
2008,618,187,9,422,G1600250
2008,64246,20147,1347,42752,G1600270
2008,3302,553,93,2656,G1600290
2008,7842,1332,201,6309,G1600310
2008,375,64,6,305,G1600330
2008,3906,1211,126,2569,G1600350
2008,2352,611,47,1694,G1600370
2008,8436,2591,180,5665,G1600390
2008,5073,600,227,4246,G1600410
2008,5880,1065,115,4700,G1600430
2008,7947,2166,196,5585,G1600450
2008,5391,1489,137,3765,G1600470
2008,8210,2017,298,5895,G1600490
2008,10441,1641,260,8540,G1600510
2008,6847,1794,156,4897,G1600530
2008,61932,22120,1425,38387,G1600550
2008,17714,9195,531,7988,G1600570
2008,4105,1061,106,2938,G1600590
2008,1804,479,50,1275,G1600610
2008,1870,545,93,1232,G1600630
2008,13057,1627,299,11131,G1600650
2008,6890,1630,173,5087,G1600670
2008,17823,7123,343,10357,G1600690
2008,2162,381,57,1724,G1600710
2008,4058,944,90,3024,G1600730
2008,8613,2415,210,5988,G1600750
2008,2842,1027,61,1754,G1600770
2008,5666,2521,192,2953,G1600790
2008,4658,2302,93,2263,G1600810
2008,28344,8621,691,19032,G1600830
2008,5296,2405,119,2772,G1600850
2008,4506,1241,97,3168,G1600870
2008,30823,11794,318,18711,G1700010
2008,3937,2189,56,1692,G1700030
2008,7924,3843,134,3947,G1700050
2008,22157,11333,421,10403,G1700070
2008,2569,986,39,1544,G1700090
2008,17113,8889,313,7911,G1700110
2008,2699,1423,55,1221,G1700130
2008,7674,3965,113,3596,G1700150
2008,5408,2690,101,2617,G1700170
2008,84143,48597,1675,33871,G1700190
2008,15100,6918,310,7872,G1700210
2008,8288,3742,137,4409,G1700230
2008,6454,2425,103,3926,G1700250
2008,17314,7657,300,9357,G1700270
2008,23076,11716,382,10978,G1700290
2008,2137466,1629024,20706,487736,G1700310
2008,9129,3883,176,5070,G1700330
2008,5321,2055,110,3156,G1700350
2008,44818,25784,768,18266,G1700370
2008,7801,3308,145,4348,G1700390
2008,8356,3228,123,5005,G1700410
2008,417973,228698,5649,183626,G1700430
2008,8255,3743,114,4398,G1700450
2008,3350,1140,73,2137,G1700470
2008,16835,5262,250,11323,G1700490
2008,9680,3967,214,5499,G1700510
2008,6386,2227,80,4079,G1700530
2008,18641,8880,357,9404,G1700550
2008,16323,9732,340,6251,G1700570
2008,2859,1587,60,1212,G1700590
2008,5807,2619,135,3053,G1700610
2008,22171,11063,421,10687,G1700630
2008,4264,1796,115,2353,G1700650
2008,9469,4141,167,5161,G1700670
2008,2255,892,33,1330,G1700690
2008,3814,2215,58,1541,G1700710
2008,24785,13181,341,11263,G1700730
2008,13596,4643,258,8695,G1700750
2008,25532,15248,597,9687,G1700770
2008,5131,2063,104,2964,G1700790
2008,17141,7462,377,9302,G1700810
2008,10583,5042,212,5329,G1700830
2008,11750,6403,177,5170,G1700850
2008,5901,1871,118,3912,G1700870
2008,193299,106756,2580,83963,G1700890
2008,48016,24750,739,22527,G1700910
2008,46631,24742,509,21380,G1700930
2008,23988,14191,378,9419,G1700950
2008,299105,177242,3318,118545,G1700970
2008,50185,27443,870,21872,G1700990
2008,6536,3016,117,3403,G1701010
2008,16318,7765,295,8258,G1701030
2008,15625,6189,245,9191,G1701050
2008,12896,5250,217,7429,G1701070
2008,13042,6783,204,6055,G1701090
2008,139268,72288,2135,64845,G1701110
2008,75750,37689,1294,36767,G1701130
2008,51216,25487,781,24948,G1701150
2008,22373,12090,392,9891,G1701170
2008,128334,68979,2178,57177,G1701190
2008,17364,8345,328,8691,G1701210
2008,6333,3081,107,3145,G1701230
2008,6808,3542,125,3141,G1701250
2008,7186,2693,122,4371,G1701270
2008,6464,2706,86,3672,G1701290
2008,8848,4887,128,3833,G1701310
2008,18083,7953,249,9881,G1701330
2008,12871,6491,230,6150,G1701350
2008,15353,7467,295,7591,G1701370
2008,6260,2668,121,3471,G1701390
2008,24850,11253,453,13144,G1701410
2008,81704,45906,1219,34579,G1701430
2008,9995,4701,208,5086,G1701450
2008,8999,3859,149,4991,G1701470
2008,7616,3024,135,4457,G1701490
2008,2231,845,43,1343,G1701510
2008,3270,1638,39,1593,G1701530
2008,3337,1900,59,1378,G1701550
2008,15202,7395,269,7538,G1701570
2008,7650,3181,140,4329,G1701590
2008,68401,42210,827,25364,G1701610
2008,125744,76160,1626,47958,G1701630
2008,11428,5083,246,6099,G1701650
2008,99828,51300,1583,46945,G1701670
2008,3823,1900,90,1833,G1701690
2008,2600,1090,55,1455,G1701710
2008,10868,4245,227,6396,G1701730
2008,2907,1357,37,1513,G1701750
2008,21605,11349,347,9909,G1701770
2008,63854,29384,1223,33247,G1701790
2008,9116,3918,195,5003,G1701810
2008,32872,16246,572,16054,G1701830
2008,5782,2462,66,3254,G1701850
2008,8029,4286,106,3637,G1701870
2008,7932,3342,117,4473,G1701890
2008,8071,2547,134,5390,G1701910
2008,7453,3315,151,3987,G1701930
2008,26906,15607,416,10883,G1701950
2008,286420,160406,3417,122597,G1701970
2008,30821,12914,520,17387,G1701990
2008,126031,70034,2111,53886,G1702010
